id,first_name,last_name,username,password,role,email,phone,image_url,enabled,address_id,create_date
1,Biff,Tannen,sportsbetter,butthead,1,butthead1@gmail.com,800-987-6543,https://static.wikia.nocookie.net/bttf/images/f/f7/BiffHD.jpg/revision/latest/scale-to-width-down/250?cb=20101210165807,1,1,"2021-09-24 17:18:33.001"
2,Ralph,Larson,rlarson,ralphlarson,0,ralphlarson@gmail.com,626-891-7575,NULL,1,2,"2021-09-25 13:00:33.001"
3,"Alma ",Savage,asavage,almasavage,0,almasavage@aol.com,886-214-5925,NULL,1,3,"2021-09-25 13:00:34.001"
4,Cruz,Barnes,cbarnes,cruzbarnes,1,cruzbarnes@yahoo.com,778-556-8282,NULL,1,4,"2021-09-25 13:00:35.001"
5,Hedley,Sweeney,hsweeney,hedleysweeney,1,hedleysweeney@gmail.com,835-890-3132,NULL,1,5,"2021-09-25 13:00:36.001"
6,Ann,Tate,atate,anntate,1,anntate@aol.com,716-218-5771,NULL,1,6,"2021-09-25 13:00:37.001"
7,Eagan,Frye,efrye,eaganfrye,0,eaganfrye@gmail.com,894-341-1814,NULL,1,7,"2021-09-25 13:00:38.001"
8,Dara,Henderson,dhenderson,darahenderson,1,darahenderson@gmail.com,552-945-9759,NULL,1,8,"2021-09-25 13:00:39.001"
9,Carson,Terrell,cterrell,carsonterrell,0,carsonterrell@yahoo.com,325-323-6555,NULL,1,9,"2021-09-25 13:00:40.001"
10,Lucy,Ferrell,lferrell,lucyferrell,1,lucyferrell@yahoo.com,816-986-2613,NULL,1,10,"2021-09-25 13:00:41.001"
11,Mannix,Phillips,mphillips,mannixphillips,1,mannixphillips@gmail.com,617-564-3668,NULL,1,11,"2021-09-25 13:00:42.001"
12,Stephen,Bond,sbond,stephenbond,1,stephenbond@gmail.com,304-557-3596,NULL,1,12,"2021-09-25 13:00:43.001"
13,Fitzgerald,Smith,fsmith,fitzgeraldsmith,1,fitzgeraldsmith@yahoo.com,641-306-4161,NULL,1,13,"2021-09-25 13:00:44.001"
14,Dai,Fuller,dfuller,daiguller,1,daifuller@yahoo.com,860-812-7560,NULL,1,14,"2021-09-25 13:00:45.001"
15,Hope,Snyder,hsnyder,hopesnyder,2,hopesnyder@gmail.com,127-762-9748,NULL,1,15,"2021-09-25 13:00:46.001"
